application_id,customer_id,related_parties_id,document_id,document_url,db_status,s3_status
1010,1026,,7094,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1026/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1011,1027,,7233,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1027/CUSTOMER_ELECTRICITY.pdf,,
1011,1027,435,7234,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/435/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1028,1046,,7289,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1046/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1028,1046,,7291,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1046/CUST_HOUSE_OUT.jpg,,
1025,1043,441,7340,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/441/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
1019,1035,,7341,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1035/CUSTOMER_OTHER_DOC.pdf,,
1032,1050,,7449,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1050/CHEQUE_PHOTO.jpg,,
1032,1050,,7450,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1050/BANK_PASSBOOK_PHOTO.jpg,,
931,947,,5815,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/947/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
931,947,,5816,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/947/CUSTOMER_OTHER_DOC.pdf,,
931,947,,5817,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/947/CUSTOMER_ELECTRICITY.jpg,,
931,947,358,5818,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/358/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
931,947,,5824,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/947/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
931,947,,5825,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/947/CUST_HOUSE_IN.jpg,,
931,947,,5826,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/947/CHEQUE_PHOTO.jpg,,
945,961,,5828,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/961/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
945,961,,5829,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/961/CUSTOMER_ELECTRICITY.jpg,,
945,961,359,5830,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/359/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
945,961,,5836,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/961/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
945,961,,5837,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/961/CUST_HOUSE_IN.jpg,,
945,961,,5838,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/961/CHEQUE_PHOTO.jpg,,
955,971,,5845,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/971/AFFIDAVIT_FOR_2NDHAND_VEHICLE.jpg,,
934,950,,5863,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/950/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
934,950,,5864,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/950/CUSTOMER_VOTER.jpg,,
934,950,,5865,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/950/CUSTOMER_OTHER_DOC.jpg,,
934,950,,5875,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/950/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
934,950,,5876,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/950/CUST_HOUSE_IN.jpg,,
934,950,,5877,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/950/CHEQUE_PHOTO.jpg,,
972,989,,6116,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/989/CUST_HOUSE_OUT.jpg,,
933,949,,5882,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/949/AFFIDAVIT_FOR_2NDHAND_VEHICLE.jpg,,
937,953,,5884,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/953/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
937,953,362,5885,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/362/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
937,953,,5893,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/953/CHEQUE_PHOTO.jpg,,
937,953,,5894,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/953/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
937,953,,5895,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/953/CUST_HOUSE_OUT.jpg,,
937,953,,5896,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/953/CUSTOMER_ELECTRICITY.jpg,,
937,953,,5897,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/953/CUSTOMER_OTHER_DOC.jpg,,
959,975,,5905,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/975/AFFIDAVIT_FOR_2NDHAND_VEHICLE.jpg,,
1013,1029,,6999,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1029/CUSTOMER_VOTER.jpg,,
955,971,,5955,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/971/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
955,971,,5956,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/971/CUSTOMER_VOTER.jpg,,
955,971,,5957,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/971/CUSTOMER_ELECTRICITY.jpg,,
955,971,,5958,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/971/CUSTOMER_OTHER_DOC.jpg,,
955,971,364,5959,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/364/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
955,971,365,5963,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/365/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
955,971,,5969,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/971/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
955,971,,5970,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/971/CHEQUE_PHOTO.jpg,,
933,949,,5981,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/949/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
933,949,,5982,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/949/CUSTOMER_OTHER_DOC.jpg,,
933,949,,5983,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/949/CUSTOMER_ELECTRICITY.jpg,,
933,949,,5992,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/949/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
933,949,,5993,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/949/CUST_HOUSE_OUT.jpg,,
933,949,,5994,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/949/CHEQUE_PHOTO.jpg,,
1013,1029,,7004,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1029/CUSTOMER_ELECTRICITY.jpg,,
1024,1042,,7054,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1042/CUST_HOUSE_OUT.jpg,,
1024,1042,,7055,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1042/CHEQUE_PHOTO.jpg,,
1010,1026,,7095,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1026/CUST_HOUSE_IN.jpg,,
1010,1026,,7096,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1026/CHEQUE_PHOTO.jpg,,
1015,1031,432,7192,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/432/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1011,1027,,7239,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1027/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1011,1027,,7241,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1027/BANK_PASSBOOK_PHOTO.jpg,,
1028,1046,,7290,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1046/CUST_HOUSE_IN.jpg,,
1028,1046,,7292,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1046/BANK_PASSBOOK_PHOTO.jpg,,
1025,1043,,7349,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1043/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1025,1043,,7352,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1043/BANK_PASSBOOK_PHOTO.jpg,,
1032,1050,,7451,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1050/CUSTOMER_ELECTRICITY.jpg,,
1032,1050,,7452,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1050/CUSTOMER_GAS.jpg,,
1030,1048,,7554,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1048/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
1030,1048,,7567,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1048/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1030,1048,,7569,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1048/CUST_HOUSE_OUT.jpg,,
1030,1048,,7570,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1048/BANK_PASSBOOK_PHOTO.jpg,,
957,973,,6031,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/973/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
957,973,368,6041,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/368/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
957,973,,6047,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/973/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
957,973,,6048,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/973/CUST_HOUSE_IN.jpg,,
957,973,,6049,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/973/CUST_HOUSE_OUT.jpg,,
957,973,,6050,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/973/CHEQUE_PHOTO.jpg,,
964,981,,6061,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/981/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
964,981,369,6062,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/369/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1013,1029,420,7005,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/420/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1024,1042,,7053,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1042/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
964,981,,6069,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/981/CHEQUE_PHOTO.jpg,,
964,981,,6070,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/981/BANK_PASSBOOK_PHOTO.jpg,,
966,983,,6071,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/983/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
966,983,,6072,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/983/CUSTOMER_ELECTRICITY.jpg,,
966,983,370,6073,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/370/CUSTOMER_WITH_GUARANTOR_PHOTO.jpg,,
